Source protein	Target protein	Source gene	Target gene	Supportability	Mean MR	Function
von Willebrand factor	Cadherin-5	VWF	CDH5	3	210.3375	cadherin 5
Vascular endothelial growth factor D	Cadherin-5	VEGFD	CDH5	3	7098.967500000001	cadherin 5
Vascular cell adhesion protein 1	Cadherin-5	VCAM1	CDH5	3	7609.2925	cadherin 5
Vasorin	Cadherin-5	VASN	CDH5	3	7451.344999999999	cadherin 5
Tumor necrosis factor receptor superfamily member 1B	Cadherin-5	TNFRSF1B	CDH5	3	5594.26	cadherin 5
Metalloproteinase inhibitor 4	Cadherin-5	TIMP4	CDH5	3	6905.384999999999	cadherin 5
Thrombospondin-4	Cadherin-5	THBS4	CDH5	3	6535.615	cadherin 5
Thrombomodulin	Cadherin-5	THBD	CDH5	3	3982.835	cadherin 5
Tissue_factor_pathway_inhibitor	Cadherin-5	TFPI	CDH5	3	6362.7125	cadherin 5
SPARC	Cadherin-5	SPARC	CDH5	3	5187.525	cadherin 5
Plasma protease C1 inhibitor	Cadherin-5	SERPING1	CDH5	3	6439.617499999999	cadherin 5
Pigment epithelium-derived factor	Cadherin-5	SERPINF1	CDH5	3	8428.985	cadherin 5
Plasminogen activator inhibitor 1	Cadherin-5	SERPINE1	CDH5	3	7745.025	cadherin 5
Plasma serine protease inhibitor	Cadherin-5	SERPINA5	CDH5	3	7323.775	cadherin 5
Alpha-1-antichymotrypsin	Cadherin-5	SERPINA3	CDH5	3	8016.7375	cadherin 5
P-selectin	Cadherin-5	SELP	CDH5	3	3429.225	cadherin 5
L-selectin	Cadherin-5	SELL	CDH5	3	8090.797500000001	cadherin 5
Protein S100-B	Cadherin-5	S100B	CDH5	3	8156.2575	cadherin 5
Protein S100-A9	Cadherin-5	S100A9	CDH5	3	8816.755000000001	cadherin 5
Protein S100-A12	Cadherin-5	S100A12	CDH5	3	9116.2025	cadherin 5
Retinol-binding protein 4	Cadherin-5	RBP4	CDH5	3	7529.5975	cadherin 5
Vitamin K-dependent protein S	Cadherin-5	PROS1	CDH5	3	8109.385	cadherin 5
Endothelial protein C receptor	Cadherin-5	PROCR	CDH5	3	5750.7525000000005	cadherin 5
Serum paraoxonase/lactonase 3	Cadherin-5	PON3	CDH5	3	7606.2225	cadherin 5
Phospholipid transfer protein	Cadherin-5	PLTP	CDH5	3	7715.33	cadherin 5
Platelet-activating factor acetylhydrolase	Cadherin-5	PLA2G7	CDH5	3	9028.265	cadherin 5
Platelet endothelial cell adhesion molecule	Cadherin-5	PECAM1	CDH5	3	526.725	cadherin 5
Neuropilin-2	Cadherin-5	NRP2	CDH5	3	5872.047500000001	cadherin 5
Atrial natriuretic peptide receptor 1	Cadherin-5	NPR1	CDH5	3	1172.755	cadherin 5
72 KDa type IV collagenase	Cadherin-5	MMP2	CDH5	3	4986.345	cadherin 5
Matrix Gla protein	Cadherin-5	MGP	CDH5	3	4655.4675	cadherin 5
Mannan-binding lectin serine protease 1	Cadherin-5	MASP1	CDH5	3	6785.754999999999	cadherin 5
Lumican	Cadherin-5	LUM	CDH5	3	8201.1625	cadherin 5
Endothelial lipase	Cadherin-5	LIPG	CDH5	3	7228.7875	cadherin 5
Lipopolysaccharide-binding protein	Cadherin-5	LBP	CDH5	3	7483.08	cadherin 5
Interleukin-6	Cadherin-5	IL6	CDH5	3	8475.4075	cadherin 5
Insulin-like growth factor-binding protein 3	Cadherin-5	IGFBP3	CDH5	3	8086.3675	cadherin 5
Insulin-like growth factor-binding protein 2	Cadherin-5	IGFBP2	CDH5	3	7513.245	cadherin 5
Insulin-like growth factor I	Cadherin-5	IGF1	CDH5	3	6138.115	cadherin 5
Haptoglobin	Cadherin-5	HP	CDH5	3	8319.295	cadherin 5
Hemoglobin subunit alpha	Cadherin-5	HBA1	CDH5	3	9125.05	cadherin 5
Glutathione peroxidase 3	Cadherin-5	GPX3	CDH5	3	5365.9375	cadherin 5
Follistatin-related protein 1	Cadherin-5	FSTL1	CDH5	3	7900.8825	cadherin 5
Fibronectin	Cadherin-5	FN1	CDH5	3	6997.25	cadherin 5
Ficolin-3	Cadherin-5	FCN3	CDH5	3	1470.4875000000002	cadherin 5
Ficolin-2	Cadherin-5	FCN2	CDH5	3	7944.195	cadherin 5
Fibulin-1	Cadherin-5	FBLN1	CDH5	3	6060.152499999999	cadherin 5
Coagulation factor VII	Cadherin-5	F7	CDH5	3	8066.37	cadherin 5
Elastin	Cadherin-5	ELN	CDH5	3	5271.335	cadherin 5
Extracellular matrix protein 1	Cadherin-5	ECM1	CDH5	3	7976.4749999999985	cadherin 5
Dickkopf-related protein 2	Cadherin-5	DKK2	CDH5	3	6672.74	cadherin 5
Cartilage acidic protein 1	Cadherin-5	CRTAC1	CDH5	3	6332.942499999999	cadherin 5
Collagen alpha-1(I) chain	Cadherin-5	COL1A1	CDH5	3	6706.530000000001	cadherin 5
Collagen alpha-1(XVIII) chain	Cadherin-5	COL18A1	CDH5	3	4864.0175	cadherin 5
Collagen alpha-1(III) chain	Cadherin-5	COL3A1	CDH5	3	4428.139999999999	cadherin 5
Calponin-1	Cadherin-5	CNN1	CDH5	3	6790.1175	cadherin 5
Claudin-5	Cadherin-5	CLDN5	CDH5	3	655.9024999999999	cadherin 5
Tetranectin	Cadherin-5	CLEC3B	CDH5	3	3581.515	cadherin 5
Complement factor H	Cadherin-5	CFH	CDH5	3	8434.3825	cadherin 5
Ceruloplasmin	Cadherin-5	CP	CDH5	3	8284.557499999999	cadherin 5
Cadherin-13	Cadherin-5	CDH13	CDH5	3	4058.5166666666655	cadherin 5
CD5 antigen-like	Cadherin-5	CD5L	CDH5	3	7755.775000000001	cadherin 5
Complement component C7	Cadherin-5	C7	CDH5	3	3943.5	cadherin 5
Complement C3	Cadherin-5	C3	CDH5	3	8376.1025	cadherin 5
Complement factor I	Cadherin-5	CFI	CDH5	3	5747.537499999999	cadherin 5
Complement C2	Cadherin-5	C2	CDH5	3	7844.402499999999	cadherin 5
Complement C1s subcomponent	Cadherin-5	C1S	CDH5	3	7140.902500000001	cadherin 5
Complement C1q subcomponent subunit C	Cadherin-5	C1QC	CDH5	3	4253.9800000000005	cadherin 5
Complement C1q subcomponent subunit B	Cadherin-5	C1QB	CDH5	3	5588.275000000001	cadherin 5
Complement C1q subcomponent subunit A	Cadherin-5	C1QA	CDH5	3	5370.0075	cadherin 5
Collagen alpha-2(I) chain	Cadherin-5	COL1A2	CDH5	3	5491.015	cadherin 5
Cholesteryl ester transfer protein	Cadherin-5	CETP	CDH5	3	3292.8375	cadherin 5
Zinc-alpha-2-glycoprotein	Cadherin-5	AZGP1	CDH5	3	8458.627499999999	cadherin 5
Apolipoprotein E	Cadherin-5	APOE	CDH5	3	8000.2675	cadherin 5
Apolipoprotein D	Cadherin-5	APOD	CDH5	3	6867.37	cadherin 5
Angiotensinogen	Cadherin-5	AGT	CDH5	3	7661.99	cadherin 5
Adiponectin	Cadherin-5	ADIPOQ	CDH5	3	7602.834999999999	cadherin 5
Adhesion G protein-coupled receptor F5	Cadherin-5	ADGRF5	CDH5	3	211.3925	cadherin 5
A disintegrin and metalloproteinase with thrombospondin motifs 9	Cadherin-5	ADAMTS9	CDH5	3	2335.87	cadherin 5
A disintegrin and metalloproteinase with thrombospondin motifs 2	Cadherin-5	ADAMTS2	CDH5	3	6144.105	cadherin 5
Actin, aortic smooth muscle	Cadherin-5	ACTA2	CDH5	3	6518.2825	cadherin 5
Alpha-2-macroglobulin	Cadherin-5	A2M	CDH5	3	2072.1	cadherin 5
von Willebrand factor	Claudin-5	VWF	CLDN5	3	351.365	claudin 5
Tumor necrosis factor receptor superfamily member 1B	Claudin-5	TNFRSF1B	CLDN5	3	5430.295	claudin 5
Metalloproteinase inhibitor 4	Claudin-5	TIMP4	CLDN5	3	7367.745000000001	claudin 5
Thrombomodulin	Claudin-5	THBD	CLDN5	3	6176.675000000001	claudin 5
Tissue_factor_pathway_inhibitor	Claudin-5	TFPI	CLDN5	3	6200.4400000000005	claudin 5
SPARC	Claudin-5	SPARC	CLDN5	3	4729.6275	claudin 5
Spermine oxidase	Claudin-5	SMOX	CLDN5	3	6622.6050000000005	claudin 5
Plasma protease C1 inhibitor	Claudin-5	SERPING1	CLDN5	3	8544.7525	claudin 5
P-selectin	Claudin-5	SELP	CLDN5	3	2517.7	claudin 5
Protein S100-B	Claudin-5	S100B	CLDN5	3	7298.1425	claudin 5
Resistin	Claudin-5	RETN	CLDN5	3	7129.495	claudin 5
Vitamin K-dependent protein S	Claudin-5	PROS1	CLDN5	3	5491.96	claudin 5
Endothelial protein C receptor	Claudin-5	PROCR	CLDN5	3	6968.06	claudin 5
Platelet endothelial cell adhesion molecule	Claudin-5	PECAM1	CLDN5	3	2205.43	claudin 5
Atrial natriuretic peptide receptor 1	Claudin-5	NPR1	CLDN5	3	2649.0275	claudin 5
Matrix Gla protein	Claudin-5	MGP	CLDN5	3	7506.757500000001	claudin 5
Mannan-binding lectin serine protease 1	Claudin-5	MASP1	CLDN5	3	7338.5475	claudin 5
Lactotransferrin	Claudin-5	LTF	CLDN5	3	7996.6225	claudin 5
Insulin-like growth factor-binding protein 2	Claudin-5	IGFBP2	CLDN5	3	8393.712500000001	claudin 5
Insulin-like growth factor-binding protein complex acid labile subunit	Claudin-5	IGFALS	CLDN5	3	6587.9800000000005	claudin 5
Insulin-like growth factor I	Claudin-5	IGF1	CLDN5	3	8143.5725	claudin 5
Haptoglobin	Claudin-5	HP	CLDN5	3	8489.5475	claudin 5
Hemoglobin subunit alpha	Claudin-5	HBA1	CLDN5	3	5960.826666666667	claudin 5
Glutathione peroxidase 3	Claudin-5	GPX3	CLDN5	3	6584.27	claudin 5
Platelet glycoprotein VI	Claudin-5	GP6	CLDN5	3	5790.07	claudin 5
Follistatin-related protein 1	Claudin-5	FSTL1	CLDN5	3	6306.05	claudin 5
Ficolin-3	Claudin-5	FCN3	CLDN5	3	3879.74	claudin 5
Clusterin	Claudin-5	CLU	CLDN5	3	4720.83	claudin 5
Elastin	Claudin-5	ELN	CLDN5	3	4847.2925	claudin 5
Cartilage acidic protein 1	Claudin-5	CRTAC1	CLDN5	3	5574.46	claudin 5
Collagen alpha-1(XVIII) chain	Claudin-5	COL18A1	CLDN5	3	5901.635	claudin 5
Calponin-1	Claudin-5	CNN1	CLDN5	3	6311.34	claudin 5
Tetranectin	Claudin-5	CLEC3B	CLDN5	3	2337.49	claudin 5
Complement factor B	Claudin-5	CFD	CLDN5	3	7114.86	claudin 5
Complement factor D	Claudin-5	CFD	CLDN5	3	7114.86	claudin 5
Cadherin-5	Claudin-5	CDH5	CLDN5	3	655.9024999999999	claudin 5
Cadherin-13	Claudin-5	CDH13	CLDN5	3	7771.686666666667	claudin 5
Complement component C7	Claudin-5	C7	CLDN5	3	4784.7775	claudin 5
Complement C1q subcomponent subunit C	Claudin-5	C1QC	CLDN5	3	6840.117499999999	claudin 5
Complement C1q subcomponent subunit B	Claudin-5	C1QB	CLDN5	3	7240.990000000001	claudin 5
Complement C1q subcomponent subunit A	Claudin-5	C1QA	CLDN5	3	6220.137500000001	claudin 5
Cholesteryl ester transfer protein	Claudin-5	CETP	CLDN5	3	3800.6825	claudin 5
Apolipoprotein E	Claudin-5	APOE	CLDN5	3	7426.9025	claudin 5
Apolipoprotein D	Claudin-5	APOD	CLDN5	3	7356.949999999999	claudin 5
Adiponectin	Claudin-5	ADIPOQ	CLDN5	3	7009.0	claudin 5
Adhesion G protein-coupled receptor F5	Claudin-5	ADGRF5	CLDN5	3	2140.58	claudin 5
A disintegrin and metalloproteinase with thrombospondin motifs 9	Claudin-5	ADAMTS9	CLDN5	3	6415.8675	claudin 5
Target of Nesh-SH3	Claudin-5	ABI3BP	CLDN5	3	7796.157499999999	claudin 5
Alpha-2-macroglobulin	Claudin-5	A2M	CLDN5	3	5585.860000000001	claudin 5
von Willebrand factor	Platelet endothelial cell adhesion molecule	VWF	PECAM1	3	627.8225	platelet and endothelial cell adhesion molecule 1
Vascular endothelial growth factor D	Platelet endothelial cell adhesion molecule	VEGFD	PECAM1	3	8553.595	platelet and endothelial cell adhesion molecule 1
Tumor necrosis factor receptor superfamily member 1B	Platelet endothelial cell adhesion molecule	TNFRSF1B	PECAM1	3	3680.0275	platelet and endothelial cell adhesion molecule 1
Metalloproteinase inhibitor 2	Platelet endothelial cell adhesion molecule	TIMP2	PECAM1	3	6123.465	platelet and endothelial cell adhesion molecule 1
Metalloproteinase inhibitor 1	Platelet endothelial cell adhesion molecule	TIMP1	PECAM1	3	8178.710000000001	platelet and endothelial cell adhesion molecule 1
Thrombospondin-4	Platelet endothelial cell adhesion molecule	THBS4	PECAM1	3	7464.93	platelet and endothelial cell adhesion molecule 1
Thrombomodulin	Platelet endothelial cell adhesion molecule	THBD	PECAM1	3	3722.1225	platelet and endothelial cell adhesion molecule 1
Tissue_factor_pathway_inhibitor	Platelet endothelial cell adhesion molecule	TFPI	PECAM1	3	7428.302500000001	platelet and endothelial cell adhesion molecule 1
SPARC	Platelet endothelial cell adhesion molecule	SPARC	PECAM1	3	6160.567499999999	platelet and endothelial cell adhesion molecule 1
Plasma protease C1 inhibitor	Platelet endothelial cell adhesion molecule	SERPING1	PECAM1	3	8743.1225	platelet and endothelial cell adhesion molecule 1
Pigment epithelium-derived factor	Platelet endothelial cell adhesion molecule	SERPINF1	PECAM1	3	7644.199999999999	platelet and endothelial cell adhesion molecule 1
Alpha-1-antitrypsin	Platelet endothelial cell adhesion molecule	SERPINA1	PECAM1	3	7402.1075	platelet and endothelial cell adhesion molecule 1
P-selectin	Platelet endothelial cell adhesion molecule	SELP	PECAM1	3	2133.3975	platelet and endothelial cell adhesion molecule 1
L-selectin	Platelet endothelial cell adhesion molecule	SELL	PECAM1	3	4054.77	platelet and endothelial cell adhesion molecule 1
Protein S100-B	Platelet endothelial cell adhesion molecule	S100B	PECAM1	3	8180.5675	platelet and endothelial cell adhesion molecule 1
Protein S100-A9	Platelet endothelial cell adhesion molecule	S100A9	PECAM1	3	7184.4800000000005	platelet and endothelial cell adhesion molecule 1
Protein S100-A12	Platelet endothelial cell adhesion molecule	S100A12	PECAM1	3	7853.6875	platelet and endothelial cell adhesion molecule 1
Resistin	Platelet endothelial cell adhesion molecule	RETN	PECAM1	3	8423.842499999999	platelet and endothelial cell adhesion molecule 1
Endothelial protein C receptor	Platelet endothelial cell adhesion molecule	PROCR	PECAM1	3	8314.6	platelet and endothelial cell adhesion molecule 1
Platelet-activating factor acetylhydrolase	Platelet endothelial cell adhesion molecule	PLA2G7	PECAM1	3	7910.620000000001	platelet and endothelial cell adhesion molecule 1
Atrial natriuretic peptide receptor 1	Platelet endothelial cell adhesion molecule	NPR1	PECAM1	3	4619.055	platelet and endothelial cell adhesion molecule 1
Matrix Gla protein	Platelet endothelial cell adhesion molecule	MGP	PECAM1	3	6064.24	platelet and endothelial cell adhesion molecule 1
Plastin-2	Platelet endothelial cell adhesion molecule	LCP1	PECAM1	3	4800.075	platelet and endothelial cell adhesion molecule 1
Immunoglobulin kappa variable 4-1	Platelet endothelial cell adhesion molecule	IGKV4-1	PECAM1	3	7484.573333333334	platelet and endothelial cell adhesion molecule 1
Ig mu chain C region	Platelet endothelial cell adhesion molecule	IGHM	PECAM1	3	7097.116666666666	platelet and endothelial cell adhesion molecule 1
Insulin-like growth factor I	Platelet endothelial cell adhesion molecule	IGF1	PECAM1	3	7060.799999999999	platelet and endothelial cell adhesion molecule 1
Haptoglobin	Platelet endothelial cell adhesion molecule	HP	PECAM1	3	8702.5175	platelet and endothelial cell adhesion molecule 1
Glutathione peroxidase 3	Platelet endothelial cell adhesion molecule	GPX3	PECAM1	3	7000.1725	platelet and endothelial cell adhesion molecule 1
Fibronectin	Platelet endothelial cell adhesion molecule	FN1	PECAM1	3	8238.3225	platelet and endothelial cell adhesion molecule 1
Ficolin-3	Platelet endothelial cell adhesion molecule	FCN3	PECAM1	3	6343.8175	platelet and endothelial cell adhesion molecule 1
Coagulation factor VIII	Platelet endothelial cell adhesion molecule	F8	PECAM1	3	7126.1125	platelet and endothelial cell adhesion molecule 1
Dickkopf-related protein 2	Platelet endothelial cell adhesion molecule	DKK2	PECAM1	3	8921.0125	platelet and endothelial cell adhesion molecule 1
Collagen alpha-1(III) chain	Platelet endothelial cell adhesion molecule	COL3A1	PECAM1	3	9137.9925	platelet and endothelial cell adhesion molecule 1
Claudin-5	Platelet endothelial cell adhesion molecule	CLDN5	PECAM1	3	2205.43	platelet and endothelial cell adhesion molecule 1
Tetranectin	Platelet endothelial cell adhesion molecule	CLEC3B	PECAM1	3	6042.742499999999	platelet and endothelial cell adhesion molecule 1
Complement factor B	Platelet endothelial cell adhesion molecule	CFD	PECAM1	3	7378.202499999999	platelet and endothelial cell adhesion molecule 1
Complement factor D	Platelet endothelial cell adhesion molecule	CFD	PECAM1	3	7378.202499999999	platelet and endothelial cell adhesion molecule 1
Cadherin-5	Platelet endothelial cell adhesion molecule	CDH5	PECAM1	3	526.725	platelet and endothelial cell adhesion molecule 1
Cadherin-13	Platelet endothelial cell adhesion molecule	CDH13	PECAM1	3	7969.709999999999	platelet and endothelial cell adhesion molecule 1
Cathelicidin antimicrobial peptide	Platelet endothelial cell adhesion molecule	CAMP	PECAM1	3	8965.09	platelet and endothelial cell adhesion molecule 1
Complement component C7	Platelet endothelial cell adhesion molecule	C7	PECAM1	3	7185.8525	platelet and endothelial cell adhesion molecule 1
Complement C3	Platelet endothelial cell adhesion molecule	C3	PECAM1	3	8211.2725	platelet and endothelial cell adhesion molecule 1
Complement factor I	Platelet endothelial cell adhesion molecule	CFI	PECAM1	3	7332.28	platelet and endothelial cell adhesion molecule 1
Complement C2	Platelet endothelial cell adhesion molecule	C2	PECAM1	3	8126.5525	platelet and endothelial cell adhesion molecule 1
Complement C1q subcomponent subunit C	Platelet endothelial cell adhesion molecule	C1QC	PECAM1	3	6548.5625	platelet and endothelial cell adhesion molecule 1
Complement C1q subcomponent subunit B	Platelet endothelial cell adhesion molecule	C1QB	PECAM1	3	6457.24	platelet and endothelial cell adhesion molecule 1
Complement C1q subcomponent subunit A	Platelet endothelial cell adhesion molecule	C1QA	PECAM1	3	5893.125	platelet and endothelial cell adhesion molecule 1
Cholesteryl ester transfer protein	Platelet endothelial cell adhesion molecule	CETP	PECAM1	3	4856.327499999999	platelet and endothelial cell adhesion molecule 1
B-cell scaffold protein with ankyrin repeats	Platelet endothelial cell adhesion molecule	BANK1	PECAM1	3	7666.957499999999	platelet and endothelial cell adhesion molecule 1
Apolipoprotein D	Platelet endothelial cell adhesion molecule	APOD	PECAM1	3	8151.737499999999	platelet and endothelial cell adhesion molecule 1
Adhesion G protein-coupled receptor F5	Platelet endothelial cell adhesion molecule	ADGRF5	PECAM1	3	1497.98	platelet and endothelial cell adhesion molecule 1
A disintegrin and metalloproteinase with thrombospondin motifs 9	Platelet endothelial cell adhesion molecule	ADAMTS9	PECAM1	3	5604.1425	platelet and endothelial cell adhesion molecule 1
Actin, aortic smooth muscle	Platelet endothelial cell adhesion molecule	ACTA2	PECAM1	3	7682.16	platelet and endothelial cell adhesion molecule 1
Alpha-2-macroglobulin	Platelet endothelial cell adhesion molecule	A2M	PECAM1	3	3812.865	platelet and endothelial cell adhesion molecule 1
von Willebrand factor	P-selectin	VWF	SELP	2	724.11	selectin P
Vascular non-inflammatory molecule 3	P-selectin	VNN3	SELP	2	7380.635	selectin P
Vascular endothelial growth factor D	P-selectin	VEGFD	SELP	2	6540.8525	selectin P
Vascular cell adhesion protein 1	P-selectin	VCAM1	SELP	2	6951.98	selectin P
Thrombospondin-1	P-selectin	THBS1	SELP	2	6017.592500000001	selectin P
Thrombomodulin	P-selectin	THBD	SELP	2	6366.2025	selectin P
Tissue_factor_pathway_inhibitor	P-selectin	TFPI	SELP	2	5210.6875	selectin P
SPARC	P-selectin	SPARC	SELP	2	4312.2225	selectin P
Plasma protease C1 inhibitor	P-selectin	SERPING1	SELP	2	7626.2275	selectin P
L-selectin	P-selectin	SELL	SELP	2	1630.355	selectin P
Serum amyloid A-1	P-selectin	SAA1	SELP	2	9632.683333333334	selectin P
Protein S100-B	P-selectin	S100B	SELP	2	7073.945	selectin P
Protein S100-A12	P-selectin	S100A12	SELP	2	6431.915	selectin P
Resistin	P-selectin	RETN	SELP	2	7836.894999999999	selectin P
Pregnancy zone protein	P-selectin	PZP	SELP	2	6590.2475	selectin P
Vitamin K-dependent protein S	P-selectin	PROS1	SELP	2	3535.435	selectin P
Proteoglycan 4	P-selectin	PRG4	SELP	2	5999.165	selectin P
Phospholipid transfer protein	P-selectin	PLTP	SELP	2	7730.235	selectin P
Platelet endothelial cell adhesion molecule	P-selectin	PECAM1	SELP	2	2133.3975	selectin P
Myeloperoxidase	P-selectin	MPO	SELP	2	6991.9975	selectin P
Interstitial collagenase	P-selectin	MMP1	SELP	2	8509.8875	selectin P
Matrix Gla protein	P-selectin	MGP	SELP	2	5892.9025	selectin P
Mannan-binding lectin serine protease 1	P-selectin	MASP1	SELP	2	6370.585	selectin P
Lactotransferrin	P-selectin	LTF	SELP	2	4570.3875	selectin P
Leucine-rich alpha-2-glycoprotein	P-selectin	LRG1	SELP	2	7029.26	selectin P
Neutrophil gelatinase-associated lipocalin	P-selectin	LCN2	SELP	2	5802.5925	selectin P
Lipopolysaccharide-binding protein	P-selectin	LBP	SELP	2	7654.2325	selectin P
Keratin-type II cytoskeletal 2 epidermal	P-selectin	KRT2	SELP	2	7914.625	selectin P
Interleukin-6	P-selectin	IL6	SELP	2	8571.432499999999	selectin P
Interleukin-10	P-selectin	IL10	SELP	2	6935.6325	selectin P
Immunoglobulin kappa variable 4-1	P-selectin	IGKV4-1	SELP	2	6506.46	selectin P
Ig mu chain C region	P-selectin	IGHM	SELP	2	5598.003333333334	selectin P
Insulin-like growth factor I	P-selectin	IGF1	SELP	2	6497.2075	selectin P
Haptoglobin	P-selectin	HP	SELP	2	7877.245000000001	selectin P
Hemoglobin subunit alpha	P-selectin	HBA1	SELP	2	8210.26	selectin P
Hyaluronan-binding protein 2	P-selectin	HABP2	SELP	2	8868.205	selectin P
Platelet glycoprotein VI	P-selectin	GP6	SELP	2	1822.175	selectin P
Follistatin-related protein 1	P-selectin	FSTL1	SELP	2	3879.6325	selectin P
Ficolin-3	P-selectin	FCN3	SELP	2	4999.695	selectin P
Clusterin	P-selectin	CLU	SELP	2	2658.5	selectin P
Coagulation factor V	P-selectin	F5	SELP	2	3809.8225	selectin P
Elastin	P-selectin	ELN	SELP	2	7429.1775	selectin P
Cartilage acidic protein 1	P-selectin	CRTAC1	SELP	2	7717.657500000001	selectin P
Calponin-1	P-selectin	CNN1	SELP	2	6574.8325	selectin P
Claudin-5	P-selectin	CLDN5	SELP	2	2517.7	selectin P
Tetranectin	P-selectin	CLEC3B	SELP	2	6445.6025	selectin P
Complement factor H	P-selectin	CFH	SELP	2	6924.2025	selectin P
Cadherin-5	P-selectin	CDH5	SELP	2	3429.225	selectin P
CD40 ligand	P-selectin	CD40LG	SELP	2	4177.145	selectin P
Cathelicidin antimicrobial peptide	P-selectin	CAMP	SELP	2	8646.307499999999	selectin P
Carbonic anhydrase 1	P-selectin	CA1	SELP	2	5232.435	selectin P
Complement component C7	P-selectin	C7	SELP	2	3660.775	selectin P
Complement component C6	P-selectin	C6	SELP	2	7267.1875	selectin P
C4b-binding protein alpha chain	P-selectin	C4BPA	SELP	2	6520.182500000001	selectin P
Complement factor I	P-selectin	CFI	SELP	2	7659.0425	selectin P
Complement C1q subcomponent subunit C	P-selectin	C1QC	SELP	2	9277.3775	selectin P
Complement C1q subcomponent subunit B	P-selectin	C1QB	SELP	2	8358.9475	selectin P
Complement C1q subcomponent subunit A	P-selectin	C1QA	SELP	2	8520.95	selectin P
Cholesteryl ester transfer protein	P-selectin	CETP	SELP	2	1858.64	selectin P
B-cell scaffold protein with ankyrin repeats	P-selectin	BANK1	SELP	2	6088.21	selectin P
Apolipoprotein D	P-selectin	APOD	SELP	2	7540.79	selectin P
Adiponectin	P-selectin	ADIPOQ	SELP	2	5926.509999999999	selectin P
Adhesion G protein-coupled receptor F5	P-selectin	ADGRF5	SELP	2	5355.775	selectin P
A disintegrin and metalloproteinase with thrombospondin motifs 9	P-selectin	ADAMTS9	SELP	2	5761.5175	selectin P
Actin, alpha cardiac muscle 1	P-selectin	ACTC1	SELP	2	8097.237499999999	selectin P
Actin, aortic smooth muscle	P-selectin	ACTA2	SELP	2	6566.744999999999	selectin P
Target of Nesh-SH3	P-selectin	ABI3BP	SELP	2	6523.2675	selectin P
Alpha-2-macroglobulin	P-selectin	A2M	SELP	2	7180.1425	selectin P
von Willebrand factor	Adhesion G protein-coupled receptor F5	VWF	ADGRF5	3	1096.2825	adhesion G protein-coupled receptor F5
Vascular endothelial growth factor D	Adhesion G protein-coupled receptor F5	VEGFD	ADGRF5	3	5855.99	adhesion G protein-coupled receptor F5
Vascular cell adhesion protein 1	Adhesion G protein-coupled receptor F5	VCAM1	ADGRF5	3	6516.79	adhesion G protein-coupled receptor F5
Metalloproteinase inhibitor 4	Adhesion G protein-coupled receptor F5	TIMP4	ADGRF5	3	6173.98	adhesion G protein-coupled receptor F5
Thrombospondin-4	Adhesion G protein-coupled receptor F5	THBS4	ADGRF5	3	7668.2075	adhesion G protein-coupled receptor F5
Thrombospondin-1	Adhesion G protein-coupled receptor F5	THBS1	ADGRF5	3	8943.4525	adhesion G protein-coupled receptor F5
Thrombomodulin	Adhesion G protein-coupled receptor F5	THBD	ADGRF5	3	5620.455	adhesion G protein-coupled receptor F5
Tissue_factor_pathway_inhibitor	Adhesion G protein-coupled receptor F5	TFPI	ADGRF5	3	5640.3575	adhesion G protein-coupled receptor F5
SPARC	Adhesion G protein-coupled receptor F5	SPARC	ADGRF5	3	6587.245	adhesion G protein-coupled receptor F5
Plasminogen activator inhibitor 1	Adhesion G protein-coupled receptor F5	SERPINE1	ADGRF5	3	8601.8675	adhesion G protein-coupled receptor F5
Plasma serine protease inhibitor	Adhesion G protein-coupled receptor F5	SERPINA5	ADGRF5	3	8775.6125	adhesion G protein-coupled receptor F5
P-selectin	Adhesion G protein-coupled receptor F5	SELP	ADGRF5	3	5355.775	adhesion G protein-coupled receptor F5
Protein S100-B	Adhesion G protein-coupled receptor F5	S100B	ADGRF5	3	8237.2525	adhesion G protein-coupled receptor F5
Ras GTPase-activating protein nGAP	Adhesion G protein-coupled receptor F5	RASAL2	ADGRF5	3	5910.1525	adhesion G protein-coupled receptor F5
Pregnancy zone protein	Adhesion G protein-coupled receptor F5	PZP	ADGRF5	3	7070.387500000001	adhesion G protein-coupled receptor F5
Vitamin K-dependent protein S	Adhesion G protein-coupled receptor F5	PROS1	ADGRF5	3	7608.599999999999	adhesion G protein-coupled receptor F5
Proteoglycan 4	Adhesion G protein-coupled receptor F5	PRG4	ADGRF5	3	6367.5525	adhesion G protein-coupled receptor F5
Serum paraoxonase/lactonase 3	Adhesion G protein-coupled receptor F5	PON3	ADGRF5	3	5640.8525	adhesion G protein-coupled receptor F5
Platelet-activating factor acetylhydrolase	Adhesion G protein-coupled receptor F5	PLA2G7	ADGRF5	3	8096.5525	adhesion G protein-coupled receptor F5
Platelet endothelial cell adhesion molecule	Adhesion G protein-coupled receptor F5	PECAM1	ADGRF5	3	1497.98	adhesion G protein-coupled receptor F5
Pappalysin-1	Adhesion G protein-coupled receptor F5	PAPPA	ADGRF5	3	7400.13	adhesion G protein-coupled receptor F5
Neuropilin-2	Adhesion G protein-coupled receptor F5	NRP2	ADGRF5	3	7509.6975	adhesion G protein-coupled receptor F5
Atrial natriuretic peptide receptor 1	Adhesion G protein-coupled receptor F5	NPR1	ADGRF5	3	2910.11	adhesion G protein-coupled receptor F5
